author_openalex_id,topic,period_a_from,period_a_to,period_b_from,period_b_to,pubs_a,pubs_b,cites_a,cites_b,label
A5000182708,Geological Studies and Exploration,1959,2014,2015,2026,0,1,0,0,Emerging
A5000182708,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,0,3,0,16,Emerging
A5000182708,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,0,2,0,16,Emerging
A5000230700,Enhanced Oil Recovery Techniques,1959,2014,2015,2026,0,1,0,23,Emerging
A5000230700,Hydraulic Fracturing and Reservoir Analysis,1959,2014,2015,2026,0,1,0,23,Emerging
A5000230700,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,0,1,0,23,Emerging
A5000339030,Geology and Paleoclimatology Research,1959,2014,2015,2026,0,1,0,20,Emerging
A5000339030,Methane Hydrates and Related Phenomena,1959,2014,2015,2026,0,1,0,20,Emerging
A5000339030,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,0,1,0,20,Emerging
A5000343935,earthquake and tectonic studies,1959,2014,2015,2026,0,4,0,94,Emerging
A5000343935,Geochemistry and Geologic Mapping,1959,2014,2015,2026,0,1,0,35,Emerging
A5000343935,Geological and Geochemical Analysis,1959,2014,2015,2026,0,4,0,164,Emerging
A5000343935,Geological and Geophysical Studies,1959,2014,2015,2026,0,3,0,113,Emerging
A5000343935,Geotechnical and Geomechanical Engineering,1959,2014,2015,2026,0,1,0,1,Emerging
A5000343935,High-pressure geophysics and materials,1959,2014,2015,2026,0,2,0,88,Emerging
A5000353919,Geological and Geophysical Studies Worldwide,1959,2014,2015,2026,0,1,0,2,Emerging
A5000353919,Geological and Tectonic Studies in Latin America,1959,2014,2015,2026,0,1,0,2,Emerging
A5000364306,Geochemistry and Geologic Mapping,1959,2014,2015,2026,0,1,0,35,Emerging
A5000364306,Geological formations and processes,1959,2014,2015,2026,0,1,0,35,Emerging
A5000364306,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,0,1,0,35,Emerging
A5000375962,Geological and Geophysical Studies,1959,2014,2015,2026,0,2,0,36,Emerging
A5000375962,Geological formations and processes,1959,2014,2015,2026,0,3,0,41,Emerging
A5000375962,Geology and Paleoclimatology Research,1959,2014,2015,2026,0,1,0,5,Emerging
A5000375962,Karst Systems and Hydrogeology,1959,2014,2015,2026,0,1,0,5,Emerging
A5000375962,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,0,2,0,36,Emerging
A5000405726,Geological and Geophysical Studies,1959,2014,2015,2026,1,0,0,0,Declining
A5000405726,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,1,0,0,0,Declining
A5000405726,Plant Diversity and Evolution,1959,2014,2015,2026,1,0,0,0,Declining
A5000472250,Atmospheric and Environmental Gas Dynamics,1959,2014,2015,2026,0,1,0,0,Emerging
A5000472250,Coal Properties and Utilization,1959,2014,2015,2026,0,1,0,0,Emerging
A5000472250,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,0,1,0,0,Emerging
A5000536008,Geological and Geochemical Analysis,1959,2014,2015,2026,1,0,61,0,Declining
A5000536008,Geological formations and processes,1959,2014,2015,2026,1,0,61,0,Declining
A5000536008,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,1,0,61,0,Declining
A5000537987,Analytical Chemistry and Sensors,1959,2014,2015,2026,0,1,0,18,Emerging
A5000537987,Membrane Separation Technologies,1959,2014,2015,2026,0,2,0,68,Emerging
A5000537987,Surface Modification and Superhydrophobicity,1959,2014,2015,2026,0,1,0,50,Emerging
A5000537987,Water Quality Monitoring Technologies,1959,2014,2015,2026,0,2,0,68,Emerging
A5000541549,Evolution and Paleontology Studies,1959,2014,2015,2026,1,0,0,0,Declining
A5000541549,Geochemistry and Elemental Analysis,1959,2014,2015,2026,1,0,23,0,Declining
A5000541549,Geochemistry and Geologic Mapping,1959,2014,2015,2026,2,0,15,0,Declining
A5000541549,Geological and Geophysical Studies,1959,2014,2015,2026,2,0,15,0,Declining
A5000541549,Geological formations and processes,1959,2014,2015,2026,0,1,0,36,Emerging
A5000541549,Geological Formations and Processes Exploration,1959,2014,2015,2026,2,0,50,0,Declining
A5000541549,Geological Studies and Exploration,1959,2014,2015,2026,2,0,6,0,Declining
A5000541549,Geology and Paleoclimatology Research,1959,2014,2015,2026,1,1,23,36,Growing priority
A5000541549,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,1,0,15,0,Declining
A5000541549,Marine and environmental studies,1959,2014,2015,2026,1,0,58,0,Declining
A5000541549,Marine Biology and Ecology Research,1959,2014,2015,2026,2,0,102,0,Declining
A5000541549,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,6,1,131,36,Declining
A5000628701,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,1,0,27,0,Declining
A5000666928,earthquake and tectonic studies,1959,2014,2015,2026,0,1,0,31,Emerging
A5000666928,Geochemistry and Geologic Mapping,1959,2014,2015,2026,0,1,0,31,Emerging
A5000666928,Geological and Geochemical Analysis,1959,2014,2015,2026,0,1,0,31,Emerging
A5000719134,Astronomical Observations and Instrumentation,1959,2014,2015,2026,1,0,0,0,Declining
A5000719134,Research Data Management Practices,1959,2014,2015,2026,1,0,0,0,Declining
A5000771580,Geological and Geochemical Analysis,1959,2014,2015,2026,1,0,6,0,Declining
A5000771580,Geology and Paleoclimatology Research,1959,2014,2015,2026,1,0,6,0,Declining
A5000771580,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,1,0,6,0,Declining
A5000790686,Atmospheric and Environmental Gas Dynamics,1959,2014,2015,2026,0,1,0,14,Emerging
A5000790686,Carbon Dioxide Capture Technologies,1959,2014,2015,2026,0,1,0,0,Emerging
A5000790686,Chemical Looping and Thermochemical Processes,1959,2014,2015,2026,0,1,0,0,Emerging
A5000790686,CO2 Sequestration and Geologic Interactions,1959,2014,2015,2026,0,6,0,3,Emerging
A5000790686,Geochemistry and Geologic Mapping,1959,2014,2015,2026,0,1,0,2,Emerging
A5000790686,Geological and Geochemical Analysis,1959,2014,2015,2026,0,1,0,1,Emerging
A5000790686,Geological and Geophysical Studies,1959,2014,2015,2026,0,3,0,3,Emerging
A5000790686,Geomagnetism and Paleomagnetism Studies,1959,2014,2015,2026,0,2,0,3,Emerging
A5000790686,Geophysical and Geoelectrical Methods,1959,2014,2015,2026,0,2,0,3,Emerging
A5000790686,Geothermal Energy Systems and Applications,1959,2014,2015,2026,0,2,0,0,Emerging
A5000790686,"Graphite, nuclear technology, radiation studies",1959,2014,2015,2026,0,1,0,1,Emerging
A5000790686,Groundwater and Isotope Geochemistry,1959,2014,2015,2026,0,1,0,14,Emerging
A5000790686,Hybrid Renewable Energy Systems,1959,2014,2015,2026,0,1,0,1,Emerging
A5000790686,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,0,5,0,16,Emerging
A5000790686,Methane Hydrates and Related Phenomena,1959,2014,2015,2026,0,1,0,0,Emerging
A5000790686,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,0,2,0,1,Emerging
A5000790686,Radioactive element chemistry and processing,1959,2014,2015,2026,0,1,0,1,Emerging
A5000790686,Seismic Imaging and Inversion Techniques,1959,2014,2015,2026,0,1,0,0,Emerging
A5000823784,Geological and Geophysical Studies,1959,2014,2015,2026,1,0,0,0,Declining
A5000823784,Geological formations and processes,1959,2014,2015,2026,1,0,0,0,Declining
A5000823784,Geophysics and Gravity Measurements,1959,2014,2015,2026,1,0,0,0,Declining
A5000908629,Geological and Geophysical Studies,1959,2014,2015,2026,0,1,0,7,Emerging
A5000908629,Geology and Paleoclimatology Research,1959,2014,2015,2026,0,1,0,7,Emerging
A5000908629,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,0,1,0,7,Emerging
A5000915808,Enhanced Oil Recovery Techniques,1959,2014,2015,2026,0,1,0,2,Emerging
A5000915808,Hydraulic Fracturing and Reservoir Analysis,1959,2014,2015,2026,0,1,0,2,Emerging
A5000915808,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,0,2,0,3,Emerging
A5000915808,Paleontology and Evolutionary Biology,1959,2014,2015,2026,0,1,0,1,Emerging
A5000915808,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,0,1,0,1,Emerging
A5000945647,Geochemistry and Geologic Mapping,1959,2014,2015,2026,0,1,0,1,Emerging
A5000945647,Geological Studies and Exploration,1959,2014,2015,2026,0,1,0,1,Emerging
A5000945647,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,0,1,0,1,Emerging
A5000986346,Evolution and Paleontology Studies,1959,2014,2015,2026,1,0,71,0,Declining
A5000986346,Geological and Geochemical Analysis,1959,2014,2015,2026,2,0,21,0,Declining
A5000986346,Geological Formations and Processes Exploration,1959,2014,2015,2026,1,0,24,0,Declining
A5000986346,Geological Studies and Exploration,1959,2014,2015,2026,3,0,45,0,Declining
A5000986346,Geology and Paleoclimatology Research,1959,2014,2015,2026,1,0,71,0,Declining
A5000986346,Geotechnical and Geomechanical Engineering,1959,2014,2015,2026,1,0,16,0,Declining
A5000986346,Marine and environmental studies,1959,2014,2015,2026,1,0,24,0,Declining
A5000986346,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,2,0,76,0,Declining
A5001010378,earthquake and tectonic studies,1959,2014,2015,2026,0,1,0,9,Emerging
A5001010378,Geological and Geochemical Analysis,1959,2014,2015,2026,0,1,0,9,Emerging
A5001010378,Geological and Geophysical Studies,1959,2014,2015,2026,0,1,0,9,Emerging
A5001029020,Geological and Geochemical Analysis,1959,2014,2015,2026,0,1,0,39,Emerging
A5001029020,Geological Formations and Processes Exploration,1959,2014,2015,2026,0,1,0,39,Emerging
A5001029020,Geological Studies and Exploration,1959,2014,2015,2026,0,1,0,39,Emerging
A5001033968,earthquake and tectonic studies,1959,2014,2015,2026,0,1,0,0,Emerging
A5001033968,Geological and Geochemical Analysis,1959,2014,2015,2026,0,1,0,0,Emerging
A5001033968,Geological and Geophysical Studies,1959,2014,2015,2026,0,1,0,0,Emerging
A5001052278,Calcium Carbonate Crystallization and Inhibition,1959,2014,2015,2026,0,1,0,0,Emerging
A5001052278,Diversity and Impact of Dance,1959,2014,2015,2026,0,1,0,0,Emerging
A5001052278,Geochemistry and Geologic Mapping,1959,2014,2015,2026,0,2,0,0,Emerging
A5001052278,Geological and Geophysical Studies,1959,2014,2015,2026,0,3,0,4,Emerging
A5001052278,Geological formations and processes,1959,2014,2015,2026,0,3,0,0,Emerging
A5001052278,Geological Formations and Processes Exploration,1959,2014,2015,2026,0,1,0,0,Emerging
A5001052278,Geological Modeling and Analysis,1959,2014,2015,2026,0,1,0,0,Emerging
A5001052278,Geology and Paleoclimatology Research,1959,2014,2015,2026,0,1,0,11,Emerging
A5001052278,Global Energy and Sustainability Research,1959,2014,2015,2026,0,1,0,0,Emerging
A5001052278,Hermeneutics and Narrative Identity,1959,2014,2015,2026,0,1,0,0,Emerging
A5001052278,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,0,5,0,4,Emerging
A5001052278,Jungian Analytical Psychology,1959,2014,2015,2026,0,1,0,0,Emerging
A5001052278,Marine and environmental studies,1959,2014,2015,2026,0,1,0,0,Emerging
A5001052278,Marine Biology and Ecology Research,1959,2014,2015,2026,0,1,0,11,Emerging
A5001052278,Paleontology and Evolutionary Biology,1959,2014,2015,2026,0,1,0,0,Emerging
A5001052278,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,0,5,0,15,Emerging
A5001066003,Geochemistry and Elemental Analysis,1959,2014,2015,2026,0,1,0,65,Emerging
A5001066003,Microbial Community Ecology and Physiology,1959,2014,2015,2026,0,1,0,65,Emerging
A5001066003,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,0,1,0,65,Emerging
A5001093117,Drilling and Well Engineering,1959,2014,2015,2026,0,1,0,2,Emerging
A5001093117,Hydraulic Fracturing and Reservoir Analysis,1959,2014,2015,2026,0,1,0,2,Emerging
A5001093117,Oil and Gas Production Techniques,1959,2014,2015,2026,0,1,0,2,Emerging
A5001108064,Geological and Geochemical Analysis,1959,2014,2015,2026,0,1,0,39,Emerging
A5001108064,Geological Formations and Processes Exploration,1959,2014,2015,2026,0,1,0,39,Emerging
A5001108064,Geological Studies and Exploration,1959,2014,2015,2026,0,1,0,39,Emerging
A5001138137,Geological formations and processes,1959,2014,2015,2026,0,1,0,0,Emerging
A5001138137,Geological Modeling and Analysis,1959,2014,2015,2026,0,1,0,0,Emerging
A5001200230,Geological formations and processes,1959,2014,2015,2026,0,1,0,21,Emerging
A5001200230,Geology and Paleoclimatology Research,1959,2014,2015,2026,0,1,0,21,Emerging
A5001200230,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,0,1,0,21,Emerging
A5001203446,Geochemistry and Geologic Mapping,1959,2014,2015,2026,0,1,0,7,Emerging
A5001203446,Radiation Dose and Imaging,1959,2014,2015,2026,0,1,0,7,Emerging
A5001203446,Radioactivity and Radon Measurements,1959,2014,2015,2026,0,1,0,7,Emerging
A5001220027,Aquatic Invertebrate Ecology and Behavior,1959,2014,2015,2026,0,1,0,0,Emerging
A5001220027,Marine Biology and Ecology Research,1959,2014,2015,2026,0,1,0,0,Emerging
A5001220027,Species Distribution and Climate Change,1959,2014,2015,2026,0,1,0,0,Emerging
A5001227845,Geochemistry and Geologic Mapping,1959,2014,2015,2026,0,1,0,0,Emerging
A5001227845,Geological Modeling and Analysis,1959,2014,2015,2026,0,1,0,0,Emerging
A5001227845,Image Processing and 3D Reconstruction,1959,2014,2015,2026,0,1,0,0,Emerging
A5001238733,Asymmetric Hydrogenation and Catalysis,1959,2014,2015,2026,0,2,0,33,Emerging
A5001238733,Catalysis and Hydrodesulfurization Studies,1959,2014,2015,2026,0,2,0,33,Emerging
A5001238733,Catalysts for Methane Reforming,1959,2014,2015,2026,0,2,0,33,Emerging
A5001238733,Geological Studies and Exploration,1959,2014,2015,2026,0,1,0,2,Emerging
A5001238733,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,0,1,0,2,Emerging
A5001238733,Petroleum Processing and Analysis,1959,2014,2015,2026,0,1,0,2,Emerging
A5001248703,Geological and Geochemical Analysis,1959,2014,2015,2026,1,0,246,0,Declining
A5001248703,Geological and Geophysical Studies Worldwide,1959,2014,2015,2026,1,0,246,0,Declining
A5001248703,Geology and Paleoclimatology Research,1959,2014,2015,2026,1,0,246,0,Declining
A5001288080,Geochemistry and Elemental Analysis,1959,2014,2015,2026,0,1,0,4,Emerging
A5001288080,Geochemistry and Geologic Mapping,1959,2014,2015,2026,0,1,0,0,Emerging
A5001288080,Geological and Geochemical Analysis,1959,2014,2015,2026,0,1,0,4,Emerging
A5001288080,Geological and Geophysical Studies,1959,2014,2015,2026,0,1,0,0,Emerging
A5001288080,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,0,2,0,4,Emerging
A5001308114,earthquake and tectonic studies,1959,2014,2015,2026,0,1,0,23,Emerging
A5001308114,Geochemistry and Geologic Mapping,1959,2014,2015,2026,0,2,0,23,Emerging
A5001308114,Geological and Geochemical Analysis,1959,2014,2015,2026,0,2,0,23,Emerging
A5001308114,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,0,1,0,0,Emerging
A5001320153,Geochemistry and Geologic Mapping,1959,2014,2015,2026,0,1,0,58,Emerging
A5001320153,Geological and Geochemical Analysis,1959,2014,2015,2026,0,1,0,58,Emerging
A5001320153,High-pressure geophysics and materials,1959,2014,2015,2026,0,1,0,58,Emerging
A5001363940,"Aging, Elder Care, and Social Issues",1959,2014,2015,2026,1,0,0,0,Declining
A5001363940,Atmospheric and Environmental Gas Dynamics,1959,2014,2015,2026,1,0,0,0,Declining
A5001363940,CO2 Sequestration and Geologic Interactions,1959,2014,2015,2026,0,1,0,6,Emerging
A5001363940,Drilling and Well Engineering,1959,2014,2015,2026,0,4,0,0,Emerging
A5001363940,Extraction and Separation Processes,1959,2014,2015,2026,0,1,0,0,Emerging
A5001363940,Geochemistry and Geologic Mapping,1959,2014,2015,2026,0,1,0,6,Emerging
A5001363940,"Health, Medicine and Society",1959,2014,2015,2026,1,0,0,0,Declining
A5001363940,Hermeneutics and Narrative Identity,1959,2014,2015,2026,1,0,0,0,Declining
A5001363940,Hydraulic Fracturing and Reservoir Analysis,1959,2014,2015,2026,1,2,0,0,Declining
A5001363940,Metal Extraction and Bioleaching,1959,2014,2015,2026,0,1,0,0,Emerging
A5001363940,Mineral Processing and Grinding,1959,2014,2015,2026,0,2,0,6,Emerging
A5001363940,Reservoir Engineering and Simulation Methods,1959,2014,2015,2026,1,6,0,0,Declining
A5001396920,3D Shape Modeling and Analysis,1959,2014,2015,2026,0,1,0,0,Emerging
A5001396920,Geological formations and processes,1959,2014,2015,2026,0,2,0,6,Emerging
A5001396920,Hydraulic Fracturing and Reservoir Analysis,1959,2014,2015,2026,0,1,0,6,Emerging
A5001396920,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,0,1,0,6,Emerging
A5001396920,Pickering emulsions and particle stabilization,1959,2014,2015,2026,0,1,0,0,Emerging
A5001435644,Geophysical and Geoelectrical Methods,1959,2014,2015,2026,0,1,0,1,Emerging
A5001435644,Groundwater and Isotope Geochemistry,1959,2014,2015,2026,0,1,0,1,Emerging
A5001435644,Groundwater and Watershed Analysis,1959,2014,2015,2026,0,1,0,1,Emerging
A5001443563,Geological Studies and Exploration,1959,2014,2015,2026,1,0,0,0,Declining
A5001443563,Geology and Paleoclimatology Research,1959,2014,2015,2026,1,0,0,0,Declining
A5001443563,Methane Hydrates and Related Phenomena,1959,2014,2015,2026,1,0,0,0,Declining
A5001479510,Botany and Plant Ecology Studies,1959,2014,2015,2026,1,0,0,0,Declining
A5001479510,Geological Formations and Processes Exploration,1959,2014,2015,2026,1,0,0,0,Declining
A5001482712,"Aging, Elder Care, and Social Issues",1959,2014,2015,2026,1,0,0,0,Declining
A5001482712,Geochemistry and Geologic Mapping,1959,2014,2015,2026,1,0,12,0,Declining
A5001482712,Geological and Geochemical Analysis,1959,2014,2015,2026,1,0,12,0,Declining
A5001482712,Geological formations and processes,1959,2014,2015,2026,1,0,13,0,Declining
A5001482712,Geological Studies and Exploration,1959,2014,2015,2026,1,0,12,0,Declining
A5001482712,Geology and Paleoclimatology Research,1959,2014,2015,2026,1,0,13,0,Declining
A5001482712,"Health, Medicine and Society",1959,2014,2015,2026,1,0,0,0,Declining
A5001482712,Hermeneutics and Narrative Identity,1959,2014,2015,2026,1,0,0,0,Declining
A5001482712,Isotope Analysis in Ecology,1959,2014,2015,2026,1,0,13,0,Declining
A5001494362,CO2 Sequestration and Geologic Interactions,1959,2014,2015,2026,1,0,170,0,Declining
A5001494362,Geological Modeling and Analysis,1959,2014,2015,2026,1,0,170,0,Declining
A5001494362,Methane Hydrates and Related Phenomena,1959,2014,2015,2026,1,0,170,0,Declining
A5001509672,Drilling and Well Engineering,1959,2014,2015,2026,0,1,0,18,Emerging
A5001509672,Hydraulic Fracturing and Reservoir Analysis,1959,2014,2015,2026,0,1,0,18,Emerging
A5001509672,Tunneling and Rock Mechanics,1959,2014,2015,2026,0,1,0,18,Emerging
A5001520367,Geology and Paleoclimatology Research,1959,2014,2015,2026,1,0,179,0,Declining
A5001520367,Marine and environmental studies,1959,2014,2015,2026,1,0,179,0,Declining
A5001520367,Soil and Environmental Studies,1959,2014,2015,2026,1,0,179,0,Declining
A5001532475,Geochemistry and Geologic Mapping,1959,2014,2015,2026,2,0,14,0,Declining
A5001532475,Geological Studies and Exploration,1959,2014,2015,2026,1,0,0,0,Declining
A5001532475,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,1,0,0,0,Declining
A5001576969,Hydraulic Fracturing and Reservoir Analysis,1959,2014,2015,2026,1,0,28,0,Declining
A5001576969,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,1,0,28,0,Declining
A5001576969,Seismic Imaging and Inversion Techniques,1959,2014,2015,2026,1,0,28,0,Declining
A5001616542,Geochemistry and Elemental Analysis,1959,2014,2015,2026,0,1,0,16,Emerging
A5001616542,Geology and Paleoclimatology Research,1959,2014,2015,2026,1,0,16,0,Declining
A5001616542,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,0,1,0,16,Emerging
A5001616542,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,1,1,16,16,Growing priority
A5001616542,Pleistocene-Era Hominins and Archaeology,1959,2014,2015,2026,1,0,16,0,Declining
A5001633563,Archaeology and ancient environmental studies,1959,2014,2015,2026,0,2,0,0,Emerging
A5001633563,Clay minerals and soil interactions,1959,2014,2015,2026,0,1,0,3,Emerging
A5001633563,earthquake and tectonic studies,1959,2014,2015,2026,0,4,0,136,Emerging
A5001633563,Geochemistry and Elemental Analysis,1959,2014,2015,2026,0,3,0,13,Emerging
A5001633563,Geochemistry and Geologic Mapping,1959,2014,2015,2026,0,16,0,174,Emerging
A5001633563,Geological and Geochemical Analysis,1959,2014,2015,2026,0,27,0,393,Emerging
A5001633563,Geological and Geophysical Studies,1959,2014,2015,2026,0,9,0,61,Emerging
A5001633563,Geological formations and processes,1959,2014,2015,2026,0,4,0,3,Emerging
A5001633563,Geological Formations and Processes Exploration,1959,2014,2015,2026,0,1,0,0,Emerging
A5001633563,Geology and Paleoclimatology Research,1959,2014,2015,2026,0,12,0,193,Emerging
A5001633563,Geomagnetism and Paleomagnetism Studies,1959,2014,2015,2026,0,1,0,3,Emerging
A5001633563,High-pressure geophysics and materials,1959,2014,2015,2026,0,1,0,19,Emerging
A5001633563,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,0,5,0,18,Emerging
A5001633563,Image Processing and 3D Reconstruction,1959,2014,2015,2026,0,1,0,0,Emerging
A5001633563,Isotope Analysis in Ecology,1959,2014,2015,2026,0,2,0,0,Emerging
A5001633563,Methane Hydrates and Related Phenomena,1959,2014,2015,2026,0,1,0,0,Emerging
A5001633563,Mineralogy and Gemology Studies,1959,2014,2015,2026,0,2,0,102,Emerging
A5001633563,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,0,9,0,66,Emerging
A5001633563,Planetary Science and Exploration,1959,2014,2015,2026,0,1,0,0,Emerging
A5001633563,Radioactive element chemistry and processing,1959,2014,2015,2026,0,1,0,1,Emerging
A5001645259,Forensic Anthropology and Bioarchaeology Studies,1959,2014,2015,2026,0,1,0,1,Emerging
A5001645259,Pleistocene-Era Hominins and Archaeology,1959,2014,2015,2026,0,1,0,1,Emerging
A5001645259,Primate Behavior and Ecology,1959,2014,2015,2026,0,1,0,1,Emerging
A5001655078,Geochemistry and Geologic Mapping,1959,2014,2015,2026,0,1,0,22,Emerging
A5001655078,Geological and Geophysical Studies,1959,2014,2015,2026,0,2,0,14,Emerging
A5001655078,Geological formations and processes,1959,2014,2015,2026,0,1,0,1,Emerging
A5001655078,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,0,3,0,36,Emerging
A5001655078,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,0,2,0,35,Emerging
A5001664444,Advanced Fiber Optic Sensors,1959,2014,2015,2026,0,1,0,1,Emerging
A5001664444,Geophysics and Sensor Technology,1959,2014,2015,2026,0,1,0,1,Emerging
A5001664444,Seismic Waves and Analysis,1959,2014,2015,2026,0,1,0,1,Emerging
A5001690352,Marine and environmental studies,1959,2014,2015,2026,1,0,10,0,Declining
A5001690352,Maritime and Coastal Archaeology,1959,2014,2015,2026,1,0,10,0,Declining
A5001690352,Oceanographic and Atmospheric Processes,1959,2014,2015,2026,1,0,10,0,Declining
A5001695997,Astro and Planetary Science,1959,2014,2015,2026,1,0,0,0,Declining
A5001695997,Geological and Geochemical Analysis,1959,2014,2015,2026,1,0,0,0,Declining
A5001695997,High-pressure geophysics and materials,1959,2014,2015,2026,1,0,0,0,Declining
A5001716537,Geological and Geophysical Studies,1959,2014,2015,2026,0,1,0,15,Emerging
A5001716537,Geological formations and processes,1959,2014,2015,2026,0,1,0,31,Emerging
A5001716537,Hydrocarbon exploration and reservoir analysis,1959,2014,2015,2026,0,2,0,46,Emerging
A5001716537,Paleontology and Stratigraphy of Fossils,1959,2014,2015,2026,0,2,0,46,Emerging
A5001777216,Water Quality and Pollution Assessment,1959,2014,2015,2026,0,1,0,3,Emerging
A5001781035,Air Quality and Health Impacts,1959,2014,2015,2026,0,1,0,32,Emerging
A5001781035,Air Quality Monitoring and Forecasting,1959,2014,2015,2026,0,1,0,32,Emerging
A5001781035,Solar Radiation and Photovoltaics,1959,2014,2015,2026,0,1,0,32,Emerging
A5001798874,Atmospheric and Environmental Gas Dynamics,1959,2014,2015,2026,1,0,7,0,Declining
A5001798874,Geological Studies and Exploration,1959,2014,2015,2026,3,0,7,0,Declining
