author_openalex_id,topic,year,pubs,cites
A5000541549,Geological Formations and Processes Exploration,2014,1,6
A5000541549,Geological Studies and Exploration,2005,1,0
A5000541549,Geological Studies and Exploration,2014,1,6
A5000541549,Geology and Paleoclimatology Research,2007,1,22
A5000541549,Geology and Paleoclimatology Research,2017,1,35
A5000541549,Hydrocarbon exploration and reservoir analysis,2000,1,15
A5000541549,Marine and environmental studies,2007,1,57
A5000541549,Marine Biology and Ecology Research,2007,2,101
A5000541549,Paleontology and Stratigraphy of Fossils,2000,1,0
A5000541549,Paleontology and Stratigraphy of Fossils,2005,1,0
A5000541549,Paleontology and Stratigraphy of Fossils,2007,3,123
A5000541549,Paleontology and Stratigraphy of Fossils,2014,1,6
A5000541549,Paleontology and Stratigraphy of Fossils,2017,1,35
A5000601328,Geological formations and processes,2018,1,7
A5000601328,Geology and Paleoclimatology Research,2018,1,7
A5000601328,Paleontology and Stratigraphy of Fossils,2018,1,7
A5000628701,Hydrocarbon exploration and reservoir analysis,1976,1,27
A5000666928,earthquake and tectonic studies,2015,1,31
A5000666928,Geochemistry and Geologic Mapping,2015,1,31
A5000666928,Geological and Geochemical Analysis,2015,1,31
A5000719134,Astronomical Observations and Instrumentation,2003,1,0
A5000719134,Research Data Management Practices,2003,1,0
A5000771580,Geological and Geochemical Analysis,2005,1,6
A5000771580,Geology and Paleoclimatology Research,2005,1,6
A5000771580,Paleontology and Stratigraphy of Fossils,2005,1,6
A5000790686,Atmospheric and Environmental Gas Dynamics,2024,1,13
A5000790686,Carbon Dioxide Capture Technologies,2025,1,0
A5000790686,Chemical Looping and Thermochemical Processes,2025,1,0
A5000790686,CO2 Sequestration and Geologic Interactions,2024,2,2
A5000790686,CO2 Sequestration and Geologic Interactions,2025,2,0
A5000790686,CO2 Sequestration and Geologic Interactions,2026,2,1
A5000790686,Geochemistry and Geologic Mapping,2024,1,2
A5000790686,Geological and Geochemical Analysis,2026,1,1
A5000790686,Geological and Geophysical Studies,2025,3,3
A5000790686,Geomagnetism and Paleomagnetism Studies,2025,2,3
A5000790686,Geophysical and Geoelectrical Methods,2025,2,3
A5000790686,Geothermal Energy Systems and Applications,2025,1,0
A5000790686,Geothermal Energy Systems and Applications,2026,1,0
A5000790686,"Graphite, nuclear technology, radiation studies",2025,1,1
A5000790686,Groundwater and Isotope Geochemistry,2024,1,13
A5000790686,Hybrid Renewable Energy Systems,2025,1,1
A5000790686,Hydrocarbon exploration and reservoir analysis,2024,3,15
A5000790686,Hydrocarbon exploration and reservoir analysis,2025,1,0
A5000790686,Hydrocarbon exploration and reservoir analysis,2026,1,0
A5000790686,Methane Hydrates and Related Phenomena,2025,1,0
A5000790686,Paleontology and Stratigraphy of Fossils,2025,1,0
A5000790686,Paleontology and Stratigraphy of Fossils,2026,1,1
A5000790686,Radioactive element chemistry and processing,2025,1,1
A5000790686,Seismic Imaging and Inversion Techniques,2024,1,0
A5000823784,Geological and Geophysical Studies,2010,1,0
A5000823784,Geological formations and processes,2010,1,0
A5000823784,Geophysics and Gravity Measurements,2010,1,0
A5000908629,Geological and Geophysical Studies,2024,1,7
A5000908629,Geology and Paleoclimatology Research,2024,1,7
A5000908629,Paleontology and Stratigraphy of Fossils,2024,1,7
A5000915808,Enhanced Oil Recovery Techniques,2025,1,2
A5000915808,Hydraulic Fracturing and Reservoir Analysis,2025,1,2
A5000915808,Hydrocarbon exploration and reservoir analysis,2025,2,3
A5000915808,Paleontology and Evolutionary Biology,2025,1,1
A5000915808,Paleontology and Stratigraphy of Fossils,2025,1,1
A5000945647,Geochemistry and Geologic Mapping,2024,1,1
A5000945647,Geological Studies and Exploration,2024,1,1
A5000945647,Hydrocarbon exploration and reservoir analysis,2024,1,1
A5000986346,Evolution and Paleontology Studies,2003,1,71
A5000986346,Geological and Geochemical Analysis,1998,1,16
A5000986346,Geological and Geochemical Analysis,1999,1,5
A5000986346,Geological Formations and Processes Exploration,1998,1,24
A5000986346,Geological Studies and Exploration,1998,2,40
A5000986346,Geological Studies and Exploration,1999,1,5
A5000986346,Geology and Paleoclimatology Research,2003,1,71
A5000986346,Geotechnical and Geomechanical Engineering,1998,1,16
A5000986346,Marine and environmental studies,1998,1,24
A5000986346,Paleontology and Stratigraphy of Fossils,1999,1,5
A5000986346,Paleontology and Stratigraphy of Fossils,2003,1,71
A5001010378,earthquake and tectonic studies,2017,1,9
A5001010378,Geological and Geochemical Analysis,2017,1,9
A5001010378,Geological and Geophysical Studies,2017,1,9
A5001029020,Geological and Geochemical Analysis,2018,1,39
A5001029020,Geological Formations and Processes Exploration,2018,1,39
A5001029020,Geological Studies and Exploration,2018,1,39
A5001033968,earthquake and tectonic studies,2023,1,0
A5001033968,Geological and Geochemical Analysis,2023,1,0
A5001033968,Geological and Geophysical Studies,2023,1,0
A5001052278,Calcium Carbonate Crystallization and Inhibition,2024,1,0
A5001052278,Diversity and Impact of Dance,2023,1,0
A5001052278,Geochemistry and Geologic Mapping,2021,1,0
A5001052278,Geochemistry and Geologic Mapping,2024,1,0
A5001052278,Geological and Geophysical Studies,2024,1,0
A5001052278,Geological and Geophysical Studies,2025,2,4
A5001052278,Geological formations and processes,2019,1,0
A5001052278,Geological formations and processes,2025,2,0
A5001052278,Geological Formations and Processes Exploration,2019,1,0
A5001052278,Geological Modeling and Analysis,2019,1,0
A5001052278,Geology and Paleoclimatology Research,2021,1,11
A5001052278,Global Energy and Sustainability Research,2019,1,0
A5001052278,Hermeneutics and Narrative Identity,2023,1,0
A5001052278,Hydrocarbon exploration and reservoir analysis,2021,1,0
A5001052278,Hydrocarbon exploration and reservoir analysis,2024,3,0
A5001052278,Hydrocarbon exploration and reservoir analysis,2025,1,4
A5001052278,Jungian Analytical Psychology,2023,1,0
A5001052278,Marine and environmental studies,2019,1,0
A5001052278,Marine Biology and Ecology Research,2021,1,11
A5001052278,Paleontology and Evolutionary Biology,2025,1,0
A5001052278,Paleontology and Stratigraphy of Fossils,2021,1,11
A5001052278,Paleontology and Stratigraphy of Fossils,2024,1,0
A5001052278,Paleontology and Stratigraphy of Fossils,2025,3,4
A5001066003,Geochemistry and Elemental Analysis,2019,1,65
A5001066003,Microbial Community Ecology and Physiology,2019,1,65
A5001066003,Paleontology and Stratigraphy of Fossils,2019,1,65
A5001093117,Drilling and Well Engineering,2018,1,2
A5001093117,Hydraulic Fracturing and Reservoir Analysis,2018,1,2
A5001093117,Oil and Gas Production Techniques,2018,1,2
A5001108064,Geological and Geochemical Analysis,2018,1,39
A5001108064,Geological Formations and Processes Exploration,2018,1,39
A5001108064,Geological Studies and Exploration,2018,1,39
A5001138137,Geological formations and processes,2019,1,0
A5001138137,Geological Modeling and Analysis,2019,1,0
A5001200230,Geological formations and processes,2016,1,21
A5001200230,Geology and Paleoclimatology Research,2016,1,21
A5001200230,Paleontology and Stratigraphy of Fossils,2016,1,21
A5001203446,Geochemistry and Geologic Mapping,2024,1,7
A5001203446,Radiation Dose and Imaging,2024,1,7
A5001203446,Radioactivity and Radon Measurements,2024,1,7
A5001220027,Aquatic Invertebrate Ecology and Behavior,2022,1,0
A5001220027,Marine Biology and Ecology Research,2022,1,0
A5001220027,Species Distribution and Climate Change,2022,1,0
A5001227845,Geochemistry and Geologic Mapping,2020,1,0
A5001227845,Geological Modeling and Analysis,2020,1,0
A5001227845,Image Processing and 3D Reconstruction,2020,1,0
A5001238733,Asymmetric Hydrogenation and Catalysis,2024,2,33
A5001238733,Catalysis and Hydrodesulfurization Studies,2024,2,33
A5001238733,Catalysts for Methane Reforming,2024,2,33
A5001238733,Geological Studies and Exploration,2023,1,2
A5001238733,Hydrocarbon exploration and reservoir analysis,2023,1,2
A5001238733,Petroleum Processing and Analysis,2023,1,2
A5001248703,Geological and Geochemical Analysis,1996,1,244
A5001248703,Geological and Geophysical Studies Worldwide,1996,1,244
A5001248703,Geology and Paleoclimatology Research,1996,1,244
A5001288080,Geochemistry and Elemental Analysis,2021,1,4
A5001288080,Geochemistry and Geologic Mapping,2021,1,0
A5001288080,Geological and Geochemical Analysis,2021,1,4
A5001288080,Geological and Geophysical Studies,2021,1,0
A5001288080,Paleontology and Stratigraphy of Fossils,2021,2,4
A5001308114,earthquake and tectonic studies,2017,1,22
A5001308114,Geochemistry and Geologic Mapping,2017,2,22
A5001308114,Geological and Geochemical Analysis,2017,2,22
A5001308114,Hydrocarbon exploration and reservoir analysis,2017,1,0
A5001320153,Geochemistry and Geologic Mapping,2020,1,57
A5001320153,Geological and Geochemical Analysis,2020,1,57
A5001320153,High-pressure geophysics and materials,2020,1,57
A5001363940,"Aging, Elder Care, and Social Issues",1990,1,0
A5001363940,Atmospheric and Environmental Gas Dynamics,2014,1,0
A5001363940,CO2 Sequestration and Geologic Interactions,2023,1,6
A5001363940,Drilling and Well Engineering,2020,4,0
A5001363940,Extraction and Separation Processes,2025,1,0
A5001363940,Geochemistry and Geologic Mapping,2023,1,6
A5001363940,"Health, Medicine and Society",1990,1,0
A5001363940,Hermeneutics and Narrative Identity,1990,1,0
A5001363940,Hydraulic Fracturing and Reservoir Analysis,2014,1,0
A5001363940,Hydraulic Fracturing and Reservoir Analysis,2020,2,0
A5001363940,Metal Extraction and Bioleaching,2025,1,0
A5001363940,Mineral Processing and Grinding,2023,1,6
A5001363940,Mineral Processing and Grinding,2025,1,0
A5001363940,Reservoir Engineering and Simulation Methods,2014,1,0
A5001363940,Reservoir Engineering and Simulation Methods,2020,6,0
A5001396920,3D Shape Modeling and Analysis,2024,1,0
A5001396920,Geological formations and processes,2024,2,6
A5001396920,Hydraulic Fracturing and Reservoir Analysis,2024,1,6
A5001396920,Hydrocarbon exploration and reservoir analysis,2024,1,6
A5001396920,Pickering emulsions and particle stabilization,2024,1,0
A5001435644,Geophysical and Geoelectrical Methods,2025,1,1
A5001435644,Groundwater and Isotope Geochemistry,2025,1,1
A5001435644,Groundwater and Watershed Analysis,2025,1,1
A5001443563,Geological Studies and Exploration,2005,1,0
A5001443563,Geology and Paleoclimatology Research,2005,1,0
A5001443563,Methane Hydrates and Related Phenomena,2005,1,0
A5001479510,Botany and Plant Ecology Studies,2005,1,0
A5001479510,Geological Formations and Processes Exploration,2005,1,0
A5001482712,"Aging, Elder Care, and Social Issues",2011,1,0
A5001482712,Geochemistry and Geologic Mapping,2013,1,12
A5001482712,Geological and Geochemical Analysis,2013,1,12
A5001482712,Geological formations and processes,2010,1,13
A5001482712,Geological Studies and Exploration,2013,1,12
A5001482712,Geology and Paleoclimatology Research,2010,1,13
A5001482712,"Health, Medicine and Society",2011,1,0
A5001482712,Hermeneutics and Narrative Identity,2011,1,0
A5001482712,Isotope Analysis in Ecology,2010,1,13
A5001494362,CO2 Sequestration and Geologic Interactions,2009,1,170
A5001494362,Geological Modeling and Analysis,2009,1,170
A5001494362,Methane Hydrates and Related Phenomena,2009,1,170
A5001509672,Drilling and Well Engineering,2022,1,18
A5001509672,Hydraulic Fracturing and Reservoir Analysis,2022,1,18
A5001509672,Tunneling and Rock Mechanics,2022,1,18
A5001520367,Geology and Paleoclimatology Research,2002,1,178
A5001520367,Marine and environmental studies,2002,1,178
A5001520367,Soil and Environmental Studies,2002,1,178
A5001532475,Geochemistry and Geologic Mapping,2014,2,14
A5001532475,Geological Studies and Exploration,2014,1,0
A5001532475,Hydrocarbon exploration and reservoir analysis,2014,1,0
A5001576969,Hydraulic Fracturing and Reservoir Analysis,2014,1,28
A5001576969,Hydrocarbon exploration and reservoir analysis,2014,1,28
A5001576969,Seismic Imaging and Inversion Techniques,2014,1,28
A5001616542,Geochemistry and Elemental Analysis,2020,1,16
A5001616542,Geology and Paleoclimatology Research,2014,1,16
A5001616542,Hydrocarbon exploration and reservoir analysis,2020,1,16
A5001616542,Paleontology and Stratigraphy of Fossils,2014,1,16
A5001616542,Paleontology and Stratigraphy of Fossils,2020,1,16
A5001616542,Pleistocene-Era Hominins and Archaeology,2014,1,16
A5001633563,Archaeology and ancient environmental studies,2018,1,0
A5001633563,Archaeology and ancient environmental studies,2022,1,0
A5001633563,Clay minerals and soil interactions,2024,1,3
A5001633563,earthquake and tectonic studies,2019,1,73
A5001633563,earthquake and tectonic studies,2020,1,27
A5001633563,earthquake and tectonic studies,2021,1,27
A5001633563,earthquake and tectonic studies,2023,1,9
A5001633563,Geochemistry and Elemental Analysis,2024,1,10
A5001633563,Geochemistry and Elemental Analysis,2025,1,1
A5001633563,Geochemistry and Elemental Analysis,2026,1,2
A5001633563,Geochemistry and Geologic Mapping,2019,1,73
A5001633563,Geochemistry and Geologic Mapping,2020,1,0
A5001633563,Geochemistry and Geologic Mapping,2021,1,27
A5001633563,Geochemistry and Geologic Mapping,2022,7,51
A5001633563,Geochemistry and Geologic Mapping,2023,3,9
A5001633563,Geochemistry and Geologic Mapping,2024,1,10
A5001633563,Geochemistry and Geologic Mapping,2025,1,4
A5001633563,Geochemistry and Geologic Mapping,2026,1,0
A5001633563,Geological and Geochemical Analysis,2019,2,78
A5001633563,Geological and Geochemical Analysis,2020,2,128
A5001633563,Geological and Geochemical Analysis,2021,2,62
A5001633563,Geological and Geochemical Analysis,2022,6,70
A5001633563,Geological and Geochemical Analysis,2023,6,27
A5001633563,Geological and Geochemical Analysis,2024,5,20
A5001633563,Geological and Geochemical Analysis,2025,2,5
A5001633563,Geological and Geochemical Analysis,2026,2,2
A5001633563,Geological and Geophysical Studies,2019,1,5
A5001633563,Geological and Geophysical Studies,2020,1,27
A5001633563,Geological and Geophysical Studies,2022,3,19
A5001633563,Geological and Geophysical Studies,2023,3,9
A5001633563,Geological and Geophysical Studies,2024,1,1
A5001633563,Geological formations and processes,2018,1,0
A5001633563,Geological formations and processes,2022,2,0
A5001633563,Geological formations and processes,2023,1,3
A5001633563,Geological Formations and Processes Exploration,2022,1,0
A5001633563,Geology and Paleoclimatology Research,2018,1,0
A5001633563,Geology and Paleoclimatology Research,2019,1,5
A5001633563,Geology and Paleoclimatology Research,2020,2,101
A5001633563,Geology and Paleoclimatology Research,2021,1,35
A5001633563,Geology and Paleoclimatology Research,2022,3,36
A5001633563,Geology and Paleoclimatology Research,2023,2,9
A5001633563,Geology and Paleoclimatology Research,2024,2,6
A5001633563,Geomagnetism and Paleomagnetism Studies,2024,1,3
A5001633563,High-pressure geophysics and materials,2022,1,19
A5001633563,Hydrocarbon exploration and reservoir analysis,2022,4,15
A5001633563,Hydrocarbon exploration and reservoir analysis,2023,1,3
A5001633563,Image Processing and 3D Reconstruction,2022,1,0
A5001633563,Isotope Analysis in Ecology,2022,2,0
A5001633563,Methane Hydrates and Related Phenomena,2024,1,0
A5001633563,Mineralogy and Gemology Studies,2020,1,101
A5001633563,Mineralogy and Gemology Studies,2022,1,0
A5001633563,Paleontology and Stratigraphy of Fossils,2021,1,35
A5001633563,Paleontology and Stratigraphy of Fossils,2023,3,18
A5001633563,Paleontology and Stratigraphy of Fossils,2024,2,7
A5001633563,Paleontology and Stratigraphy of Fossils,2025,1,4
A5001633563,Paleontology and Stratigraphy of Fossils,2026,2,2
A5001633563,Planetary Science and Exploration,2022,1,0
A5001633563,Radioactive element chemistry and processing,2025,1,1
A5001645259,Forensic Anthropology and Bioarchaeology Studies,2025,1,1
A5001645259,Pleistocene-Era Hominins and Archaeology,2025,1,1
A5001645259,Primate Behavior and Ecology,2025,1,1
A5001655078,Geochemistry and Geologic Mapping,2016,1,22
A5001655078,Geological and Geophysical Studies,2015,2,14
A5001655078,Geological formations and processes,2015,1,1
A5001655078,Hydrocarbon exploration and reservoir analysis,2015,2,14
A5001655078,Hydrocarbon exploration and reservoir analysis,2016,1,22
A5001655078,Paleontology and Stratigraphy of Fossils,2015,1,13
A5001655078,Paleontology and Stratigraphy of Fossils,2016,1,22
A5001664444,Advanced Fiber Optic Sensors,2019,1,1
A5001664444,Geophysics and Sensor Technology,2019,1,1
A5001664444,Seismic Waves and Analysis,2019,1,1
A5001690352,Marine and environmental studies,2013,1,10
A5001690352,Maritime and Coastal Archaeology,2013,1,10
A5001690352,Oceanographic and Atmospheric Processes,2013,1,10
A5001695997,Astro and Planetary Science,2007,1,0
A5001695997,Geological and Geochemical Analysis,2007,1,0
A5001695997,High-pressure geophysics and materials,2007,1,0
A5001716537,Geological and Geophysical Studies,2022,1,15
A5001716537,Geological formations and processes,2021,1,31
A5001716537,Hydrocarbon exploration and reservoir analysis,2021,1,31
A5001716537,Hydrocarbon exploration and reservoir analysis,2022,1,15
A5001716537,Paleontology and Stratigraphy of Fossils,2021,1,31
A5001716537,Paleontology and Stratigraphy of Fossils,2022,1,15
A5001777216,Water Quality and Pollution Assessment,2018,1,3
A5001781035,Air Quality and Health Impacts,2020,1,32
A5001781035,Air Quality Monitoring and Forecasting,2020,1,32
A5001781035,Solar Radiation and Photovoltaics,2020,1,32
A5001798874,Atmospheric and Environmental Gas Dynamics,2001,1,7
A5001798874,Geological Studies and Exploration,2001,1,7
A5001798874,Geological Studies and Exploration,2005,2,0
A5001798874,Geology and Paleoclimatology Research,2005,2,0
A5001798874,Methane Hydrates and Related Phenomena,2001,1,7
A5001798874,Methane Hydrates and Related Phenomena,2005,1,0
A5001810569,CO2 Sequestration and Geologic Interactions,2023,1,6
A5001810569,CO2 Sequestration and Geologic Interactions,2026,1,0
A5001810569,Extraction and Separation Processes,2025,1,0
A5001810569,Geochemistry and Elemental Analysis,2025,1,3
A5001810569,Geochemistry and Geologic Mapping,2021,1,127
A5001810569,Geochemistry and Geologic Mapping,2023,1,6
A5001810569,Geological and Geophysical Studies,2025,1,2
A5001810569,Geological and Geophysical Studies,2026,1,0
A5001810569,Geological formations and processes,2026,1,0
A5001810569,Geological Modeling and Analysis,2021,1,127
A5001810569,Geology and Paleoclimatology Research,2019,1,3
A5001810569,Geophysics and Gravity Measurements,2020,1,17
A5001810569,Geothermal Energy Systems and Applications,2026,1,0
A5001810569,Global Energy and Sustainability Research,2025,1,2
A5001810569,Global Energy and Sustainability Research,2026,1,0
A5001810569,GNSS positioning and interference,2020,1,17
A5001810569,Inertial Sensor and Navigation,2020,1,17
A5001810569,Marine and environmental studies,2019,1,3
A5001810569,Metal Extraction and Bioleaching,2025,1,0
A5001810569,Mineral Processing and Grinding,2023,1,6
A5001810569,Mineral Processing and Grinding,2025,1,0
A5001810569,Paleontology and Stratigraphy of Fossils,2019,1,3
A5001810569,Paleontology and Stratigraphy of Fossils,2025,1,3
A5001810569,Paleontology and Stratigraphy of Fossils,2026,1,0
A5001810569,Radioactive element chemistry and processing,2025,1,3
A5001810569,Reservoir Engineering and Simulation Methods,2025,1,2
A5001810569,Scientific Computing and Data Management,2021,1,127
A5001819028,Drilling and Well Engineering,2020,4,0
A5001819028,Hydraulic Fracturing and Reservoir Analysis,2020,2,0
A5001819028,Reservoir Engineering and Simulation Methods,2020,6,0
A5001824361,Geological and Geophysical Studies,1991,1,0
A5001824361,Geological Studies and Exploration,1991,3,0
A5001824361,Geology and Paleoclimatology Research,1991,6,7
A5001824361,Geomagnetism and Paleomagnetism Studies,1991,5,0
A5001824361,Ichthyology and Marine Biology,1991,1,0
A5001824361,Marine and environmental studies,1991,1,7
A5001824361,Methane Hydrates and Related Phenomena,1991,1,0
A5001824361,Paleontology and Stratigraphy of Fossils,1991,2,7
A5001840261,Geology and Paleoclimatology Research,2017,1,1
A5001840261,Marine and environmental studies,2017,1,1
A5001840261,Marine Biology and Ecology Research,2017,1,1
A5001869172,Geochemistry and Elemental Analysis,2026,1,2
A5001869172,Geological and Geochemical Analysis,2026,1,2
A5001869172,Paleontology and Stratigraphy of Fossils,2026,1,2
A5001875934,earthquake and tectonic studies,2013,1,806
A5001875934,Geochemistry and Geologic Mapping,2011,1,815
A5001875934,Geological and Geochemical Analysis,2011,1,815
A5001875934,Geological and Geochemical Analysis,2013,1,806
A5001875934,High-pressure geophysics and materials,2013,1,806
A5001875934,Paleontology and Stratigraphy of Fossils,2011,1,815
A5001881816,Geological and Geochemical Analysis,2020,1,1
A5001881816,Geological and Geophysical Studies,2020,1,1
A5001881816,Paleontology and Stratigraphy of Fossils,2020,1,1
A5001905156,Geological and Geochemical Analysis,2025,1,4
A5001905156,Geological and Geophysical Studies Worldwide,2025,1,4
A5001905156,Geology and Paleoclimatology Research,2025,1,4
A5001905568,Geological and Geochemical Analysis,2004,1,23
A5001905568,Geology and Paleoclimatology Research,2004,1,23
A5001905568,Paleontology and Stratigraphy of Fossils,2004,1,23
A5001915270,Fish Biology and Ecology Studies,1991,1,18
A5001915270,Paleontology and Evolutionary Biology,1991,1,18
A5001942958,Geological and Geochemical Analysis,2023,1,9
A5001942958,Geological Studies and Exploration,2022,1,0
A5001942958,Geology and Paleoclimatology Research,2023,1,9
A5001942958,Geotechnical and Geomechanical Engineering,2022,1,0
A5001942958,Hydrocarbon exploration and reservoir analysis,2022,1,0
A5001942958,Paleontology and Stratigraphy of Fossils,2023,1,9
A5001961127,earthquake and tectonic studies,2022,1,6
A5001961127,Geological and Geochemical Analysis,2022,1,6
A5001961554,Geological and Geochemical Analysis,2018,1,39
A5001961554,Geological Formations and Processes Exploration,2018,1,39
A5001961554,Geological Studies and Exploration,2018,1,39
A5001963926,Geological formations and processes,2015,1,35
A5001963926,Hydrocarbon exploration and reservoir analysis,2015,1,35
A5001963926,Methane Hydrates and Related Phenomena,2015,1,35
A5001972788,Geological and Geochemical Analysis,1994,1,155
A5001972788,Geology and Paleoclimatology Research,1994,1,155
A5001972788,Paleontology and Stratigraphy of Fossils,1994,1,155
A5001977635,Evolution and Paleontology Studies,2014,1,121
A5001977635,Paleontology and Evolutionary Biology,2014,1,121
A5001977635,Paleontology and Stratigraphy of Fossils,2014,1,121
A5002010059,Geological and Geochemical Analysis,2020,1,60
A5002010059,Geology and Paleoclimatology Research,2020,1,60
A5002010059,Paleontology and Stratigraphy of Fossils,2020,1,60
A5002041459,Aeolian processes and effects,2016,1,0
A5002041459,Calcium Carbonate Crystallization and Inhibition,2025,1,0
A5002041459,Calcium Carbonate Crystallization and Inhibition,2026,1,0
A5002041459,CO2 Sequestration and Geologic Interactions,2026,2,0
A5002041459,Geochemistry and Elemental Analysis,2025,1,7
A5002041459,Geochemistry and Geologic Mapping,2021,2,13
A5002041459,Geochemistry and Geologic Mapping,2025,1,7
A5002041459,Geological and Geochemical Analysis,2014,1,24
A5002041459,Geological and Geophysical Studies,2017,1,11
A5002041459,Geological formations and processes,2014,1,24
A5002041459,Geological formations and processes,2015,2,73
A5002041459,Geological formations and processes,2016,1,0
A5002041459,Geological formations and processes,2017,1,11
A5002041459,Geological formations and processes,2021,2,11
A5002041459,Geological formations and processes,2026,1,0
A5002041459,Geology and Paleoclimatology Research,2014,1,24
A5002041459,Geology and Paleoclimatology Research,2016,1,0
A5002041459,Geology and Paleoclimatology Research,2021,1,11
A5002041459,Heavy metals in environment,2021,1,11
A5002041459,Hydrocarbon exploration and reservoir analysis,2017,1,11
